Date,Book,Author,Year,Genre
October 12,The Ten Commandments,Warwick Deeping,1931,fiction
October 19,No List Published,No List Published,1931,fiction
October 26,No List Published,No List Published,1931,fiction
November 2,No List Published,No List Published,1931,fiction
November 9,No List Published,No List Published,1931,fiction
November 16,Maid in Waiting,John Galsworthy,1931,fiction
November 23,No List Published,No List Published,1931,fiction
November 30,Maid in Waiting,John Galsworthy,1931,fiction
December 7,Maid in Waiting,John Galsworthy,1931,fiction
December 14,Maid in Waiting,John Galsworthy,1931,fiction
December 21,Maid in Waiting,John Galsworthy,1931,fiction
December 28,Maid in Waiting,John Galsworthy,1931,fiction
