Date,Book,Author,Publisher,Year,Genre
January 3,A Promised Land,Barack Obama,Crown,2021,nonfiction
January 10,A Promised Land,Barack Obama,Crown,2021,nonfiction
January 17,A Promised Land,Barack Obama,Crown,2021,nonfiction
January 24,A Promised Land,Barack Obama,Crown,2021,nonfiction
January 31,A Promised Land,Barack Obama,Crown,2021,nonfiction
February 7,A Promised Land,Barack Obama,Crown,2021,nonfiction
February 14,Just as I Am,Cicely Tyson,HarperCollins,2021,nonfiction
February 21,Think Again,Adam Grant,Viking Press,2021,nonfiction
February 28,Walk in My Combat Boots,James Patterson and Matt Eversmann with Chris Mooney,"Little, Brown and Company",2021,nonfiction
March 7,How to Avoid a Climate Disaster,Bill Gates,Knopf,2021,nonfiction
March 14,How to Avoid a Climate Disaster,Bill Gates,Knopf,2021,nonfiction
March 21,How to Avoid a Climate Disaster,Bill Gates,Knopf,2021,nonfiction
March 28,The Code Breaker,Walter Isaacson,Simon & Schuster,2021,nonfiction
April 4,This Is the Fire,Don Lemon,"Little, Brown and Company",2021,nonfiction
April 11,The Code Breaker,Walter Isaacson,Simon & Schuster,2021,nonfiction
April 18,The Code Breaker,Walter Isaacson,Simon & Schuster,2021,nonfiction
April 25,Broken Horses,Brandi Carlile,Crown,2021,nonfiction
May 2,On the House,John Boehner,St. Martin's Press,2021,nonfiction
May 9,"Out of Many, One",George W. Bush,Crown,2021,nonfiction
May 16,What Happened to You?,Bruce D. Perry and Oprah Winfrey,Flatiron Books,2021,nonfiction
May 23,Killing the Mob,Bill O'Reilly and Martin Dugard,St. Martin's Press,2021,nonfiction
